Date,price
1,15197
2,15197
3,15197
4,15197
5,18490
6,18490
7,18490
8,18490
9,18490
10,18490
11,18490
12,18490
13,18490
14,18490
15,18490
16,18490
17,18490
18,18490
19,18490
20,18490
21,18490
22,18490
23,18490
24,18490
25,18490
26,18490
27,18490
28,18490
29,18490
30,18490
31,18490
32,18490
33,18490
34,18490
35,18490
36,18490
37,18490
38,18490
39,18490
40,18490
41,18490
42,18490
43,18490
44,18490
45,18990
46,18990
47,18990
48,18990
49,18990
50,18900
51,18990
52,18990
53,18990
54,18990
55,18990
56,18990
57,18990
58,18990
59,18990
60,18990
61,18990
62,18990
63,18990
64,18990
65,18990
66,18990
67,18990
68,18990
69,18990
70,18990
71,18990
72,18990
73,18990
74,18990
75,18990
76,18990
77,18990
78,18990
79,18990
80,18990
81,18990
82,18990
83,18990
84,18990
85,18990
86,18990
87,18990
88,18990
89,18990
90,18990
91,18990
92,18990
93,19499
94,19499
95,19499
96,19499
97,19499
98,19499
99,19499
100,19499
101,19499
102,19499
103,19499
104,19499
105,19499
106,19499
107,19499
108,19499
109,19499
110,19499
111,19499
112,19499
113,18990
114,19999
115,19999
116,19999
117,19999
118,19999
119,19999
120,19999
121,19999
122,18990
123,18990
124,18990
125,18990
126,18990
127,18990
128,18990
129,18990
130,18990
131,19490
132,19490
133,19490
134,19490
135,19490
136,19490
137,19490
138,19490
139,19490
140,19490
141,19490
142,19490
143,19490
144,19490
145,19490
146,19490
147,19490
148,19490
149,19490
150,19490
151,19490
152,19490
153,19490
154,19490
155,19490
156,19490
157,19490
158,19490
159,19490
160,19490
161,19490
162,19490
163,19490
164,19490
165,19490
166,19490
167,19490
168,19490
169,19490
170,19490
171,19490
172,19490
173,19490
174,19490
175,19490
176,19490
177,19490
178,19490
179,19490
180,19490
181,19490
182,19490
183,19490
184,19490
185,19490
186,19490
187,19490
188,19490
189,19490
190,19490
191,19490
192,19490
193,19890
194,19890
195,19890
196,19890
197,19890
198,19490
199,19490
200,19490
201,19490
202,19890
203,19890
204,19890
205,19890
206,19890
207,19890
208,19890
209,19890
210,19890
211,19890
212,19890
213,19890
214,19890
215,18999
216,18999
217,18999
218,18999
219,18999
220,18999
221,18999
222,18999
223,18999
224,18999
225,18999
226,18999
227,18999
228,18999
229,18999
230,18999
231,18999
232,18999
233,18999
234,18999
235,18999
236,18999
237,18999
238,18999
239,18999
240,18999
241,18999
242,18999
243,18999
244,18999
245,18999
246,18999
247,18999
248,18999
249,18999
250,18999
251,18999
252,18999
253,18999
254,18999
255,18999
256,18999
257,18999
258,18999
259,18999
260,18999
261,18999
262,18999
263,18999
264,18999
265,18999
266,18999
267,18999
268,18999
269,18999
270,18999
271,18999
272,18999
273,18999
274,18999
275,18999
276,18999
277,18999
278,18999
279,18999
280,18999
281,18999
282,18999
283,18999
284,18999
285,18999
286,18999
287,18999
288,18999
289,18999
290,18999
291,18999
292,18999
293,18999
294,18999
295,18999
296,19990
297,19990
298,19990
299,19990
300,19990
301,19990
302,19990
303,19990
304,19990
305,19990
306,19990
307,19990
308,19990
309,19990
310,19990
311,19990
312,19990
313,19990
314,19990
315,15899
316,15899
317,15899
318,15899
319,15899
320,15899
321,15899
322,15899
323,15899
324,15899
325,15899
326,15899
327,15899
328,15899
329,15899
330,15899
331,15899
332,15899
333,15899
334,15899
335,15899
336,15899
337,15899
338,15899
339,15899
340,15899
341,15899
342,15899
343,15899
344,15899
345,15899
346,15899
347,15899
348,15899
349,15899
350,15899
351,15899
352,15899
353,15899
354,15899
355,15899
356,15899
357,15899
358,15899
359,15899
360,15899
361,15899
362,15899
363,15899
364,15899
365,15899
366,15899
367,15899
368,15899
369,15899
370,15899
371,15899
372,15899
373,15899
374,15899
375,15899
376,15899
377,15899
378,15899
379,15899
380,15899
381,15899
382,15899
383,15899
384,15899
385,15899
386,15899
387,15899
388,15899
389,15899
390,15899
391,15899
392,15899
393,15899
394,15899
395,15899
396,15899
397,15899
398,15899
399,15899
400,15899
401,15899
402,15899
403,15899
404,15899
405,15899
406,15899
407,15899
408,15899
409,15899
410,15899
411,15899
412,15899
413,15899
414,15899
415,15899
416,15899
417,15899
418,15899
419,15899
420,15899
421,15899
422,15899
423,15899
424,15899
