Date,price
1,83990
2,83990
3,83990
4,83990
5,83990
6,83990
7,83990
8,83990
9,83990
10,83990
11,83990
12,83990
13,83990
14,83990
15,83990
16,83990
17,83990
18,83990
19,83990
20,84990
21,84990
22,84990
23,84990
24,83990
25,83990
26,83990
27,83990
28,83990
29,83990
30,84990
31,83990
32,83990
33,83990
34,83990
35,83990
36,83990
37,83990
38,83990
39,83990
40,83990
41,83990
42,83990
43,83990
44,83990
45,83990
46,83990
47,83990
48,83990
49,83990
50,83990
51,83990
52,83990
53,83990
54,83990
55,83990
56,83990
57,83990
58,83990
59,83990
60,83990
61,83990
62,83990
63,83990
64,81990
65,81990
66,81990
67,81990
68,81990
69,81990
70,81990
71,81990
72,81990
73,81990
74,81990
75,81990
76,81990
77,81990
78,81990
79,81990
80,81990
81,81990
82,81990
83,81990
84,79990
85,79990
86,79990
87,79990
88,79990
89,79990
90,79990
91,79990
92,79990
93,79990
94,76490
95,76490
96,76490
97,79990
98,79990
99,79990
100,79990
101,79990
102,79990
103,79990
104,79990
105,79990
106,79990
107,79990
108,79990
109,79990
110,79990
111,79990
112,79990
113,79990
114,79990
115,79990
116,79990
117,79990
118,79990
119,79990
120,79990
121,79990
122,79990
123,79990
124,79990
125,79990
126,79990
127,79990
128,80990
129,79990
130,79990
131,79990
132,79990
133,79990
134,79990
135,79990
136,79990
137,79990
138,79990
139,79990
140,79990
141,79990
142,79990
143,79990
144,79990
145,79990
146,79990
147,79990
148,79990
149,79990
150,77990
151,77990
152,77990
153,77990
154,77990
155,77990
156,77990
157,77990
158,77990
159,77990
160,77990
161,77990
162,77990
163,77990
164,77990
165,77990
166,77990
167,77990
168,77990
169,77990
170,77990
171,77990
172,77990
173,77990
174,77990
175,77990
176,77990
177,77990
178,77990
179,77990
180,77990
181,79990
182,79990
183,79990
184,79990
185,79990
186,79990
187,79990
188,79990
189,79990
190,79990
191,81990
192,81990
193,81990
194,81990
195,81990
196,81990
197,81990
198,81990
199,81990
200,81990
201,81990
202,81990
203,81990
204,81990
205,81990
206,81990
207,81990
208,81990
209,81990
210,81990
211,81990
212,81990
213,81990
214,81990
215,81990
216,81990
217,81990
218,81990
219,81990
220,81990
221,79990
222,79990
223,79990
224,79990
225,79990
226,79990
227,79990
228,79990
229,79990
230,79990
231,79990
232,79990
233,79990
234,79990
235,79990
236,74990
237,74990
238,74990
239,74990
240,72990
241,72990
242,72990
243,72990
244,72990
245,72990
246,72990
247,72990
248,72990
249,72990
250,72990
251,72990
252,72990
253,72990
254,72990
255,72990
256,69990
257,69990
258,69990
259,69990
260,69990
261,69990
262,69990
263,69990
264,69990
265,69990
266,69990
267,69990
268,69990
269,69990
270,69990
271,69990
272,69990
273,69990
274,69990
275,69990
276,69990
277,69990
278,69990
279,69990
280,69990
281,69990
282,69990
283,69990
284,69990
285,69990
286,69990
287,69990
288,69990
289,69990
290,69990
291,69990
292,69990
293,69990
294,69990
295,69990
296,69990
297,69990
298,69990
299,69990
300,69990
301,69990
302,69990
303,69990
