Date,price
1,5999
2,5999
3,5999
4,5999
5,5999
6,5999
7,5999
8,5999
9,5999
10,5999
11,5999
12,5999
13,5999
14,5999
15,5999
16,5999
17,5999
18,5999
19,5999
20,5999
21,5999
22,5999
23,5999
24,5999
25,5999
26,5999
27,5999
28,5999
29,5999
30,5999
31,5999
32,5999
33,5999
34,5999
35,5999
36,5999
37,5999
38,5999
39,5999
40,5999
41,5999
42,5999
43,5999
44,5999
45,5999
46,5999
47,5799
48,5799
49,5799
50,5799
51,5799
52,5799
53,5799
54,5799
55,5799
56,5799
57,5799
58,5799
59,5799
60,5799
61,5799
62,5799
63,5799
64,5999
65,5999
66,5999
67,5666
68,5999
69,5999
70,5999
71,5999
72,5999
73,5999
74,5999
75,5999
76,5999
77,5999
78,5999
79,5999
80,5999
81,5999
82,5999
83,5999
84,5999
85,5999
86,6799
87,6799
88,6799
89,6799
90,6799
91,6799
92,6799
93,6799
94,6799
95,6799
96,6799
97,6799
98,6799
99,6799
100,6799
101,6799
102,6799
103,6799
104,5999
105,5999
106,5999
107,5999
108,5999
109,5999
110,5999
111,5999
112,5999
113,5999
114,5999
