Date,price
1,25990
2,25990
3,25990
4,25990
5,25990
6,25990
7,25990
8,25990
9,25990
10,25990
11,25990
12,37500
13,37500
14,37500
15,37500
16,37500
17,37500
18,37500
19,37500
20,37500
21,37500
22,37500
23,37500
24,37500
25,37500
26,37500
27,37500
28,37500
29,37500
30,37500
31,37500
32,37500
33,37500
34,37500
35,37500
36,37500
37,37500
38,37500
39,37500
40,37500
41,37500
42,37500
43,37500
44,37500
45,37500
46,37500
47,37500
48,37500
49,37500
50,37500
51,37500
52,37500
53,37500
54,37500
55,37500
56,37500
57,37500
58,37500
59,37500
60,37500
61,37500
62,37500
63,37500
64,37500
65,37500
66,37500
67,37500
68,37500
69,37500
70,37500
71,37500
72,37500
73,37500
74,37500
75,37500
76,37500
77,37500
78,37500
79,37500
80,37500
81,37500
82,37500
83,37500
84,37500
85,37500
86,37500
87,37500
88,37500
89,37500
90,37500
91,37500
92,37500
93,37500
94,37500
95,37500
96,37500
97,37500
98,37500
99,37500
100,37500
101,37500
102,37500
103,37500
104,37500
105,37500
106,37500
107,37500
108,37500
109,37500
110,37500
111,37500
112,37500
113,37500
114,37500
115,37500
116,37500
117,37500
118,37500
119,37500
120,37500
121,37500
122,37500
123,37500
124,37500
125,37500
126,37500
127,37500
128,37500
129,37500
130,37500
131,37500
132,37500
133,37500
134,37500
135,37500
136,37500
137,37500
138,37500
139,37500
140,37500
141,37500
142,37500
143,37500
144,37500
145,37500
146,37500
147,37500
148,37500
149,37500
150,37500
151,37500
152,37500
153,37500
154,37500
155,37500
156,37500
157,37500
158,37500
159,37500
160,37500
161,37500
162,37500
163,37500
164,37500
165,37500
166,37500
167,37500
168,37500
169,37500
170,37500
171,37500
172,37500
173,37500
174,37500
175,37500
176,37500
177,37500
178,37500
179,37500
180,37500
181,37500
182,37500
183,37500
184,37500
185,37500
186,37500
187,37500
188,37500
189,37500
190,37500
191,37500
192,37500
193,37500
194,37500
195,37500
196,37500
197,37500
198,37500
199,37500
200,26990
201,26990
202,37500
203,37500
204,37500
205,37500
206,37500
207,37500
208,37500
209,37500
210,37500
211,37500
212,37500
213,37500
214,37500
215,37500
216,37500
217,37500
218,37500
219,37500
220,37500
221,37500
222,37500
223,37500
224,37500
225,37500
226,37500
227,37500
228,37500
229,37500
230,37500
231,37500
232,37500
233,37500
234,37500
235,37500
236,37500
237,37500
238,37500
239,37500
240,37500
241,37500
242,37500
243,37500
244,37500
245,37500
246,37500
247,37500
248,37500
249,37500
250,37500
251,37500
252,37500
253,37500
254,37500
255,37500
256,37500
257,37500
258,37500
259,37500
260,37500
261,37500
262,37500
263,37500
264,37500
265,37500
266,37500
267,37500
268,37500
269,37500
270,37500
271,37500
272,37500
273,37500
274,37500
275,37500
276,37500
277,37500
278,37500
279,37500
280,37500
281,37500
282,37500
283,37500
284,37500
285,37500
286,37500
287,37500
288,37500
289,37500
290,37500
291,37500
292,37500
293,37500
294,37500
295,37500
296,37500
297,37500
298,37500
299,37500
300,37500
301,37500
302,37500
303,37500
304,37500
305,37500
306,37500
307,37500
308,37500
309,37500
310,37500
311,37500
312,37500
313,37500
314,37500
315,37500
316,37500
317,37500
318,37500
319,37500
320,37500
321,37500
322,37500
323,37500
324,37500
325,37500
326,37500
327,37500
328,37500
329,37500
330,37500
331,37500
332,37500
333,37500
334,37500
335,37500
336,37500
337,37500
338,37500
339,37500
340,37500
341,37500
342,37500
343,37500
344,37500
345,37500
346,37500
347,37500
348,37500
349,37500
350,37500
351,37500
352,37500
353,37500
354,37500
355,37500
356,37500
357,37500
358,37500
359,37500
360,37500
361,37500
362,37500
363,37500
364,37500
365,37500
366,37500
367,37500
368,37500
369,37500
370,37500
371,37500
372,37500
373,37500
374,37500
375,37500
376,37500
377,37500
378,37500
379,37500
380,37500
381,37500
382,37500
383,37500
384,37500
385,37500
386,37500
387,37500
388,37500
389,37500
390,37500
391,37500
392,37500
393,37500
394,37500
395,37500
396,37500
397,37500
398,37500
399,37500
400,37500
401,37500
402,37500
403,37500
404,37500
405,37500
406,37500
407,37500
408,37500
409,37500
410,37500
411,37500
412,37500
413,37500
414,37500
415,37500
416,37500
417,37500
418,37500
419,37500
420,37500
421,37500
422,37500
423,37500
424,37500
425,37500
426,37500
427,37500
428,37500
429,37500
430,37500
431,37500
432,37500
433,37500
434,37500
435,37500
436,37500
437,37500
438,37500
439,37500
440,37500
441,37500
442,37500
443,37500
444,37500
445,37500
446,37500
447,37500
448,37500
449,37500
450,37500
451,37500
452,37500
453,37500
