Date,price
1,79900
2,79900
3,79900
4,79900
5,79900
6,79900
7,79900
8,79900
9,79900
10,79900
11,79900
12,79900
13,79900
14,79900
15,79900
16,79900
17,79900
18,79900
19,79900
20,79900
21,79900
22,79900
23,79900
24,79900
25,79900
26,79900
27,79900
28,79900
29,79900
30,79900
31,79900
32,79900
33,79900
34,79900
35,79900
36,79900
37,79900
38,79900
39,79900
40,79900
41,79900
42,79900
43,79900
44,79900
45,79900
46,79900
47,79900
48,79900
49,79900
50,79900
51,79900
52,79900
53,79900
54,79900
55,79900
56,79900
57,79900
58,79900
59,79900
60,79900
61,79900
62,79900
63,79900
64,79900
65,79900
66,79900
67,79900
68,79900
69,79900
70,79900
71,79900
72,79900
73,79900
74,79900
75,79900
76,79900
77,79900
78,79900
79,79900
80,79900
81,79900
82,79900
83,79900
84,79900
85,79900
86,79900
87,79900
88,79900
89,74900
90,74900
91,74900
92,74900
93,74900
94,74900
95,74900
96,74900
97,74900
98,74900
99,74900
100,74900
101,74900
102,74900
103,74900
104,74900
105,74900
106,74900
107,74900
108,74900
109,74900
110,74900
111,74900
112,74900
113,74900
114,74900
115,74900
116,74900
117,74900
118,74900
119,75199
120,75199
121,75199
122,75199
123,75199
124,75199
125,75199
126,75199
127,75199
128,75199
129,75199
130,75199
131,74900
132,74900
133,74900
134,74900
135,74900
136,74900
137,74900
138,74900
139,74900
140,74900
141,74900
142,74900
143,74900
144,74900
145,74900
146,74900
147,74900
148,74900
149,74900
150,74900
151,74900
152,74900
153,74900
154,74900
155,74900
156,74900
157,74900
158,74900
159,74900
160,74900
161,74799
162,74850
163,74850
164,74850
165,74850
166,74850
167,74850
168,74850
169,74850
170,74850
171,74850
172,74850
173,74850
174,74850
175,74850
176,74850
177,74850
178,74850
179,74850
180,74850
181,74850
182,74850
183,69499
184,69499
185,69499
186,69499
187,69499
188,69499
189,69499
190,69499
191,69900
192,69900
193,69900
194,69900
195,69900
196,74900
197,74900
198,74900
199,74900
200,74900
201,74900
202,74900
203,74900
204,74900
205,74900
206,74900
207,74900
208,74900
209,74900
210,74900
211,74900
212,74900
213,74900
214,74900
215,74900
216,74900
217,73999
218,73999
219,73999
220,73999
221,73999
222,73999
223,73999
224,73999
225,73999
226,73999
227,73999
228,69999
229,69999
230,69999
231,69999
232,69999
233,69999
234,74209
235,74209
236,74209
237,74209
238,73999
239,73999
240,73999
241,73999
242,73999
243,71999
244,71999
245,71999
246,71999
247,71999
248,71999
249,71999
250,71999
251,74209
252,74209
253,74209
254,74209
255,74209
256,74209
257,74209
258,74209
259,74209
260,74209
261,66900
262,69990
263,69990
264,69990
265,69990
266,69990
267,69990
268,69990
269,73999
270,73999
271,73999
272,73999
273,73999
274,73999
275,73999
276,73999
277,73999
278,73999
279,73999
280,73999
281,73909
282,73909
283,73909
284,65999
285,65999
286,65999
287,65999
288,65999
289,65999
290,65999
291,65999
292,65999
293,65999
294,65999
295,69999
296,69999
297,69999
298,69999
299,69999
300,69999
301,69999
302,69999
303,69999
304,69999
305,69999
306,69990
307,69990
308,69990
309,69990
310,69990
311,69990
312,69990
313,69990
314,69990
315,69990
316,69990
317,56990
318,56990
319,56990
320,56990
321,56990
322,56990
323,56990
324,56990
325,66990
326,66990
327,66990
328,66990
329,66990
330,66990
331,66990
332,66990
333,66990
334,66990
335,66990
336,59990
337,59990
338,59990
339,59990
340,59990
341,59990
342,59990
343,59990
344,69990
345,69990
346,69990
347,69990
348,69990
349,69990
350,69990
351,69990
352,69990
353,69990
354,69990
355,69990
356,59990
357,59990
358,59990
359,59990
360,59990
361,59990
362,59990
363,59990
364,59990
365,59990
