Date,price
1,31274
2,31274
3,31274
4,31274
5,31274
6,31274
7,31274
8,31274
9,31274
10,31274
11,31274
12,31274
13,31274
14,31274
15,31274
16,31274
17,31274
18,31274
19,31274
20,31274
21,31274
22,31274
23,31274
24,31274
25,31274
26,31274
27,31274
28,31274
29,31274
30,31274
31,31274
32,31274
33,31274
34,31274
35,31274
36,31274
37,31274
38,31274
39,31274
40,31274
41,31274
42,31274
43,31274
44,31274
45,31274
46,31274
47,31274
48,31274
49,31274
50,31274
51,31274
52,31274
53,31274
54,31274
55,31274
56,31274
57,31274
58,31274
59,31274
60,31274
61,31274
62,31274
63,31274
64,31274
65,31274
66,31274
67,31274
68,31274
69,31274
70,31274
71,31274
72,31274
73,31274
74,31274
75,31274
76,31274
77,31274
78,31274
79,31274
80,31274
81,31274
82,31274
83,31274
84,31274
85,31274
86,31274
87,31274
88,31274
89,31274
90,31274
91,31274
92,31274
93,31274
94,31274
95,31274
96,31274
97,31274
98,31274
99,31274
100,31274
101,31274
102,31274
103,31274
104,31274
105,31274
106,31274
107,31274
108,31274
109,31274
110,31274
111,31274
112,31274
113,31274
114,31274
115,31274
116,31274
117,31274
118,31274
119,31274
120,31274
121,31274
122,31274
123,31274
124,31274
125,31274
126,31274
127,31274
128,31274
129,31274
130,31274
131,31274
132,31274
133,31274
134,31274
135,31274
136,31274
137,31274
138,31274
139,31274
140,31274
141,31274
142,31274
143,31274
144,31274
145,31274
146,31274
147,31274
148,31274
149,31274
150,31274
151,31274
152,31274
153,31274
154,31274
155,31274
156,31274
157,31274
158,31274
159,31274
160,31274
161,31274
162,31274
163,31274
164,31274
165,31274
166,31274
167,31274
168,31274
169,31274
170,31274
171,31274
172,31274
173,31274
174,31274
175,31274
176,31274
177,31274
178,31274
179,31274
180,31274
181,31274
182,31274
183,31274
184,31274
185,31274
186,31274
187,31274
188,31274
189,31274
190,31274
191,31274
192,31274
193,31274
194,31274
195,31274
196,31274
197,31274
198,31274
199,31274
200,31274
201,31274
202,31274
203,31274
204,31274
205,25720
206,25720
207,25720
208,25720
209,25720
210,25720
211,25720
212,25720
213,25720
214,25720
215,25720
216,25720
217,25720
218,25720
219,25720
220,25720
221,25720
222,25720
223,25720
224,25720
225,25720
226,25720
227,25720
228,25720
229,25720
230,25720
231,25720
232,25720
233,25720
234,25720
235,25720
236,25720
237,25720
238,25720
239,25720
240,25720
241,25720
242,25720
243,25720
244,25720
245,25720
246,25720
247,25720
248,25720
249,25720
250,25720
251,25720
252,25720
253,25720
254,25720
255,25720
256,25720
257,25720
258,25720
259,25720
260,25720
261,25720
262,25720
263,25720
264,25720
265,25720
266,25720
267,25720
268,25720
269,25720
270,25720
271,25720
272,25720
273,25720
274,25720
275,25720
276,25720
277,25720
278,25720
279,25720
280,25720
281,25720
282,25720
283,25720
284,25720
285,25720
286,25720
287,25720
288,25720
289,25720
290,25720
291,25720
292,25720
293,25720
294,25720
295,25720
296,25720
297,25720
298,25720
299,25720
300,25720
301,25720
302,25720
303,25720
304,25720
305,25720
306,25720
307,25720
308,25720
309,25720
310,25720
311,25720
312,25720
313,25720
314,25720
315,25720
316,25720
317,25720
318,25720
319,25720
320,25720
321,25720
322,25720
323,25720
324,25720
325,25720
326,25720
327,25720
328,25720
329,25720
330,25720
331,25720
332,25720
333,25820
334,25820
335,25820
336,25820
337,25820
338,25820
339,25820
340,25820
341,25820
342,25820
343,25820
344,25820
345,25820
346,25820
347,25820
348,25820
349,25820
350,25820
351,25820
352,25820
353,25820
354,25820
355,25820
356,25820
357,25820
358,25820
359,25820
360,25820
361,25820
362,25820
363,25820
364,25820
365,25820
366,25820
367,25820
368,25820
369,25820
370,25820
371,25820
372,25820
373,25820
374,25820
375,25820
376,25820
377,25820
378,25820
379,25820
380,25820
381,25820
382,25820
383,25820
384,25820
385,25820
386,25820
387,25820
388,25820
389,25820
390,25820
391,25820
392,25820
393,25820
394,25820
395,25820
396,25820
397,25820
398,25820
399,25820
400,25820
401,25820
402,25820
403,25820
404,25820
405,25820
406,25820
407,25820
408,25820
409,25820
410,25820
411,25820
412,25820
413,25820
414,25820
415,25820
416,25820
