Date,price
1,14999
2,14999
3,14999
4,14999
5,14999
6,14999
7,14999
8,14999
9,14999
10,14999
11,14999
12,14999
13,14999
14,14999
15,14999
16,14999
17,14999
18,14999
19,14999
20,14999
21,14999
22,14999
23,14999
24,14999
25,14999
26,14999
27,14999
28,14999
29,14999
30,14999
31,14999
32,14999
33,14999
34,14999
35,14999
36,14999
37,14999
38,14999
39,14999
40,14999
41,14999
42,14999
43,14999
44,14999
45,14999
46,14999
47,14999
48,14999
49,14999
50,14999
51,14999
52,14999
53,14999
54,14999
55,14999
56,14999
57,14999
58,14999
59,14999
60,14999
61,14999
62,14999
63,14999
64,14999
65,14999
66,14999
67,14999
68,14999
69,14999
70,14999
71,14999
72,14999
73,14999
74,14999
75,14999
76,14999
77,14999
78,14999
79,15499
80,15499
81,15499
82,15499
83,15499
84,15499
85,15499
86,14999
87,14999
88,14999
89,14999
90,14999
91,15999
92,15999
93,15999
94,15999
95,15999
96,14999
97,14999
98,14999
99,14999
100,14999
101,14999
102,14999
103,14999
104,14999
105,14999
106,14999
107,15999
108,15999
109,15999
110,15999
111,15999
112,15999
113,15999
114,15999
115,15999
116,15999
117,16499
118,16499
119,16499
120,16499
121,16499
122,16499
123,16499
124,16499
125,16499
126,16499
127,16499
128,16499
129,16499
130,16499
131,16499
132,16499
133,16499
134,16499
135,16499
136,16499
137,16499
138,16499
139,16499
140,16499
141,16499
142,16499
143,16499
144,16499
145,16499
146,16499
147,16499
148,16499
149,16499
150,16499
151,16499
152,16499
153,16499
154,16499
155,16499
156,16499
157,16499
158,16499
159,16499
160,16499
161,16499
162,16499
163,16499
164,16499
165,16499
166,16499
167,16499
168,16499
169,16499
170,16499
171,16499
172,16499
173,16499
174,16499
175,16499
176,16499
177,16499
178,16499
179,16499
180,16499
181,16499
182,16499
183,16499
184,16499
185,16499
186,16499
187,16499
188,16499
189,16499
190,16499
191,16499
192,16499
193,16499
194,16499
195,16499
196,16499
197,16499
198,16499
199,16499
200,16499
201,16499
202,16499
203,16499
204,16499
205,16499
206,16499
207,16499
208,16499
209,16499
210,16499
211,16499
212,16499
213,16499
214,16499
215,16499
216,16499
217,16499
218,16499
219,16499
220,16499
221,16499
222,16499
223,16499
224,16499
225,16499
226,16499
227,16499
228,16499
229,16499
230,16499
231,16499
232,16499
233,16499
234,16499
235,16499
236,16499
237,16499
238,16499
239,16499
240,16499
241,16499
242,16499
243,16499
244,16499
245,16499
246,16499
247,16499
248,16499
249,16499
250,16499
251,16499
252,16499
253,16499
254,16499
255,16499
256,16499
257,16499
258,16499
259,16499
260,16499
261,16499
262,16499
263,16499
264,16499
265,16499
266,16499
267,16499
268,16499
269,16499
270,16499
271,16499
272,16499
273,16499
274,16499
275,16499
276,15495
277,15495
278,15495
279,15495
280,15495
281,16499
282,16499
283,16499
284,16499
285,16499
286,16499
287,16499
288,16499
289,16499
290,16499
291,16499
292,16499
293,16499
294,16499
295,16499
296,16499
297,16499
298,16499
299,16499
300,16499
301,16598
302,16598
303,16598
304,16598
305,16598
306,16598
307,16598
308,16499
309,16499
310,16499
311,16499
312,16499
313,16499
314,16499
315,16499
316,16499
317,16499
318,16499
319,16499
320,16499
321,16499
322,16499
323,16499
324,16499
325,16499
326,16499
327,16499
328,16499
329,16499
330,16499
331,16499
332,16499
333,16499
334,16499
335,16499
336,16499
337,16499
338,16499
339,16499
340,16499
341,16499
342,16499
343,16499
344,16499
345,16499
346,16499
347,16499
348,16499
349,16499
350,16499
351,16499
352,16499
353,16499
354,16499
355,16499
356,16499
357,16499
358,16499
359,16499
360,16499
361,16499
362,16499
363,16499
364,16499
365,16499
