productID,product,URL,price
1,"DELL G15 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/120 Hz) G15-5520 Gaming Laptop  (38 cm, Dark Shadow Grey, 2.57 kg, With MS Office)",https://www.flipkart.com/dell-g15-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-120-hz-g15-5520-gaming-laptop/p/itmd02c3f36a6f12?pid=COMGDJJYAJYPTS4Y&lid=LSTCOMGDJJYAJYPTS4Y1STZZ0&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_1&otracker=hp_omu_Best%2Bof%2BElectronics_1_3.dealCard.OMU_96TCV7E0HFS8_3&otracker1=hp_omu_PINNED_neo%2Fmerchandising_Best%2Bof%2BElectronics_NA_dealCard_cc_1_NA_view-all_3&fm=neo%2Fmerchandising&iid=en_aV0bk5oAKX6qvwawt7SK%2F3DdGElJj4qruV1tAu0l5cd302hpHgZu%2FHIpPkWOtYyX0Gi1%2FgsfVYzrIGAGBNU2xA%3D%3D&ppt=hp&ppn=homepage&ssid=hoh3v59xsg0000001682685072885,84490.0
2,"acer I Series 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Android 11, 30W Dolby Audio, MEMC (2022 Model)  (AR43AR2851UDFL)","https://www.flipkart.com/acer-series-109-cm-43-inch-ultra-hd-4k-led-smart-android-tv-11-30w-dolby-audio-memc-2022-model/p/itmccae6468b147a?pid=TVSGEYD9G6ZCNKF6&affid=todayonin,ACER",24499.0
3,EUREKA FORBES Ultimo P Wet & Dry Vacuum Cleaner  (Red and Grey),"https://www.flipkart.com/eureka-forbes-ultimo-p-wet-dry-vacuum-cleaner/p/itm67d9836070069?pid=VCLGH4Y9EHATVJMS&affid=todayonin,EUREKA",5999.0
4,realme Pad X 6 GB RAM 128 GB ROM 11 inch with Wi-Fi+5G Tablet (Glacier Blue),"https://www.flipkart.com/realme-pad-x-6-gb-ram-128-rom-11-inch-wi-fi-5g-tablet-glacier-blue/p/itm3db350b6c0af2?pid=TABGFW8FPKMBEW2H&affid=todayonin,realme",27999.0
